一级主题|二级主题|条款编号|条款标题|正文|关联附件

审核制度|适用范围|1.2|适用费用|与公司经营活动直接相关的差旅、业务招待、采购、培训、通讯、加班餐费等可审核。|[费用类别表]
差旅费|适用范围|T0.1|适用场景|差旅费适用于公司全体员工因公赴北京市行政区以外地区办理公务而发生的费用，包括住宿、交通、伙食等费用。|[差旅费管理办法]
差旅费|事前审批|T1.1|出差申请|出差前须完成《出差申请单》，注明行程、预算、交通等级。|[表单模板]
审核制度|审核原则|2.1|真实性|所有审核须基于真实业务，禁止虚构或拆分发票。|[合规声明]
审核制度|审核原则|2.3|时效性|费用发生后 30 天内提交系统，逾期视为自动放弃。|[系统截图]
差旅费|审核时限|T2.1|返京后审核|差旅费应于返京后五个工作日内办理审核手续，无特殊情况，前账不清，不予再借。|[审核时限提醒]
差旅费|交通标准|T3.1|城市间交通|可乘坐火车硬卧、硬座、高铁/动车二等座、轮船三等舱；公司领导班子成员可乘坐飞机经济舱。|[交通工具等级表]
差旅费|交通标准|T3.2|外地市内交通|外地市内交通费按出差自然（日历）天数计算，每人每天100元包干使用。|[市内交通包干指引]
差旅费|住宿标准|T4.1|分城市限额|一线城市：600 元/晚；二线城市：500 元/晚；其余地区统一 400 元/晚。|《城市分级住宿标准表》
差旅费|伙食标准|T5.1|一般地区|伙食补助费按出差自然（日历）天数计算，每人每天100元。|[餐补标准]
差旅费|伙食标准|T5.2|高寒地区|赴西藏、青海、新疆出差伙食补助为每人每天120元。|[高寒地区补贴说明]
审核制度|票据规范|4.1|发票要求|须为国家税务局监制的增值税发票，抬头、税号、项目、金额完整。|[发票样例]
审核制度|票据规范|4.3|遗失处理|发票遗失须填写《票据遗失说明》，附付款凭证及对方单位盖章确认件。|[模板]
审核制度|付款时限|7.1|财务审核|财务部 5 个工作日内完成票据合规性及预算余额审核。|[SLA 协议]
审核制度|付款时限|7.2|打款|审核通过后 8 个工作日内网银付款至员工工资卡。|[银行回单]
审核制度|违规处理|8.2|重复审核|系统已自动校验，人工复核发现重复即冻结账号并通报。|[系统规则]
审核制度|附则|9.1|制度更新|财务部每年 12 月组织复审，经董事会批准后于次年 1 月生效。|[版本记录]
